"";"x"
"1";"Extinctiecoefficient in /m in oppervlaktewater"
"2";"Silicaat in mg/l uitgedrukt in silicium / na filtratie in oppervlaktewater"
"3";"Saliniteit in oppervlaktewater"
"4";"Doorzicht in dm in oppervlaktewater"
"5";"Nitraat in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater"
"6";"Nitriet in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater"
"7";"Ammonium in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater"
"8";"Stikstof in mg/l particulair gebonden in oppervlaktewater"
"9";"Totaal fosfaat in mg/l particulair gebonden in oppervlaktewater"
"10";"Temperatuur in oC in oppervlaktewater"
"11";"Chloride in mg/l in oppervlaktewater"
"12";"Zwevende stof in mg/l in oppervlaktewater"
"13";"Totaal organisch koolstof in mg/l in oppervlaktewater"
"14";"Orthofosfaat in mg/l uitgedrukt in fosfor / na filtratie in oppervlaktewater"
"15";"Zuurgraad in oppervlaktewater"
"16";"Totaal fosfaat in mg/l na filtratie in oppervlaktewater"
"17";"Totaal fosfaat in mg/l in oppervlaktewater"
"18";"Zuurstof in mg/l in oppervlaktewater"
"19";"Stikstof in mg/l na filtratie in oppervlaktewater"
"20";"Stikstof in mg/l in oppervlaktewater"
"21";"Kjeldahl stikstof in mg/l uitgedrukt in stikstof in oppervlaktewater"
"22";"Chlorofyl-a in ug/l in oppervlaktewater"
"23";"Percentage zuurstof in % in oppervlaktewater"
"24";"Opgelost organisch koolstof in mg/l na filtratie in oppervlaktewater"
"25";"Particulair organisch koolstof in mg/l particulair gebonden in oppervlaktewater"
